Timestamp (ms),Temperature (°C)
2184147.0,48.09
2184453.0,48.09
2184759.0,48.08
2185065.0,48.08
2185371.0,48.07
2185677.0,48.08
2185983.0,48.08
2186289.0,48.08
2186595.0,48.09
2186901.0,48.09
2187207.0,48.08
2187513.0,48.07
2187819.0,48.08
2188125.0,48.08
2188431.0,48.07
2188737.0,48.08
2189043.0,48.08
2189349.0,48.08
2189655.0,48.08
2189961.0,48.07
2190267.0,48.08
2190573.0,48.08
2190879.0,48.07
2191185.0,48.07
2191491.0,48.06
2191797.0,48.06
2192103.0,48.05
2192409.0,48.05
2192715.0,48.03
2193021.0,48.01
2193327.0,47.99
2193633.0,47.98
2193939.0,47.97
2194245.0,47.97
2194551.0,47.96
2194857.0,47.95
2195163.0,47.95
2195469.0,47.94
2195775.0,47.93
2196081.0,47.93
2196387.0,47.93
2196693.0,47.93
2196999.0,47.93
2197305.0,47.92
2197611.0,47.92
2197917.0,47.92
2198223.0,47.91
2198529.0,47.91
2198835.0,47.91
2199141.0,47.9
2199447.0,47.91
2199753.0,47.9
2200059.0,47.89
2200365.0,47.89
2200671.0,47.88
2200977.0,47.89
2201283.0,47.88
2201589.0,47.89
2201895.0,47.88
2202201.0,47.88
2202507.0,47.89
2202813.0,47.89
2203119.0,47.9
2203425.0,47.88
2203731.0,47.89
2204037.0,47.9
2204343.0,47.89
2204649.0,47.9
2204955.0,47.9
2205261.0,47.9
2205567.0,47.9
2205873.0,47.91
2206179.0,47.91
2206485.0,47.9
2206791.0,47.91
2207097.0,47.92
2207403.0,47.93
2207709.0,47.92
2208015.0,47.92
2208321.0,47.92
